sec,user,sys,idle
0,30.43,29.56,40.0
1,42.7,27.86,30.5
2,23.80,26.98,49.20
3,22.22,24.7,53.70
4,39.76,25.73,34.50
5,13.54,22.91,63.54
6,13.68,22.10,64.21
7,15.46,21.64,62.88
8,14.58,22.91,62.50
9,17.54,25.43,57.1
10,13.97,22.58,63.44
11,14.58,22.91,62.50
12,14.43,23.71,61.85
13,15.5,21.50,63.44
14,21.23,26.54,52.21
15,19.4,26.66,54.28
16,17.0,23.0,60.0
17,13.54,25.0,61.45
18,17.30,25.0,57.69
19,15.15,23.23,61.61
20,24.77,28.31,46.90
21,13.54,21.87,64.58
22,16.19,24.76,59.4
23,14.0,23.0,63.0
24,21.13,24.39,54.47
25,18.80,23.93,57.26
26,21.62,24.32,54.5
27,22.72,23.63,53.63
28,19.80,24.75,55.44
29,20.40,23.46,56.12
