sec,user,sys,idle
0,22.85,25.71,51.42
1,14.73,22.10,63.15
2,14.28,23.46,62.24
3,15.84,23.76,60.39
4,19.64,24.10,56.25
5,20.80,26.40,52.80
6,25.86,29.31,44.82
7,21.29,25.0,53.70
8,15.62,22.91,61.45
9,15.15,24.24,60.60
10,16.32,23.46,60.20
11,15.30,22.44,62.24
12,13.68,22.10,64.21
13,14.58,22.91,62.50
14,13.97,22.58,63.44
15,19.4,24.76,56.19
16,15.15,23.23,61.61
17,13.68,23.15,63.15
18,14.43,22.68,62.88
19,13.40,23.71,62.88
20,14.43,23.71,61.85
21,12.50,23.95,63.54
22,13.54,23.95,62.50
23,14.89,21.27,63.82
24,13.68,22.10,64.21
25,13.68,22.10,64.21
26,14.58,22.91,62.50
27,15.62,21.87,62.50
28,14.43,23.71,61.85
29,14.89,21.27,63.82
